X,L,Z,D,Rough,TEC
0,0,-1921.56,0.2032,5.00E-05,2
400,400,-1921,0.2032,5.00E-05,2
550.8078,575.5022,-1831.234,0.2032,5.00E-05,2
654.0384,782.5977,-1651.701,0.2032,5.00E-05,2
721.3629,974.3386,-1472.168,0.2032,5.00E-05,2
775.2223,1161.776,-1292.636,0.2032,5.00E-05,2
824.5949,1347.974,-1113.103,0.2032,5.00E-05,2
882.9438,1455.037,-1023.337,0.2032,5.00E-05,2
918.8504,1495.182,-1005.383,0.2032,5.00E-05,2
990.6634,1569.205,-1023.337,0.2032,5.00E-05,2
1071.453,1654.365,-1050.266,0.2032,5.00E-05,2
1179.173,1765.4,-1023.337,0.2032,5.00E-05,2
1340.751,2006.936,-843.8038,0.2032,5.00E-05,2
1439.495,2293.767,-574.5047,0.2032,5.00E-05,2
1502.329,2570.3,-305.2056,0.2032,5.00E-05,2
1547.214,2861.038,-17.95327,0.2032,5.00E-05,2
1547.214,2878.991,0,0.2032,5.00E-05,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
